headline,body,location,time_published,Text
"RLI, SLI to merge",The 108th board of directors meeting of Reliance Life Insurance (RLI) held on Wednesday has decided to go for merger with Sanima Life Insurance (SLI),Business,"14 Jul, 2022 ",rli sli merge th board director meeting reliance life insurance rli held wednesday decided go merger sanima life insurance sli
"Export ban not applicable for Nepal, says Indian Ambassador Srivastava","The newly-appointed Indian Ambassador to Nepal Naveen Srivastava has clarified that the export ban imposed by the Indian government on some commodities, including wheat and sugar, is not applicable for Nepal.",Business,"14 Jul, 2022 ",export ban applicable nepal say indian ambassador srivastava newly appointed indian ambassador nepal naveen srivastava clarified export ban imposed indian government commodity including wheat sugar applicable nepal.
GIMEB interaction,Global IME Bank (GIMEB) organised an interaction programme in London on facility to open foreign currency account and potential for foreign investment in Nepal on Monday.,Business,"13 Jul, 2022 ",gimeb interaction global ime bank gimeb organised interaction programme london facility open foreign currency account potential foreign investment nepal monday.
CCB-Moco pact,Century Commercial Bank (CCB) has entered into an agreement with Moco Digital Wallet whereby the bank’s Visa debit and credit cardholders will be able to make payments through QR scan.,Business,"13 Jul, 2022 ",ccb moco pact century commercial bank ccb entered agreement moco digital wallet whereby bank visa debit credit cardholder able make payment qr scan.
Xiaomi's new offer,"Xiaomi Nepal, a global technology leader has announced amazing bundle offer on purchase of any variant of Redmi Note 11, Redmi Note 11 Pro and Redmi Note 11 Pro 5G under the Redmi Note 11 series and Xiaomi 12 and Xiaomi 12X under the Xiaomi 12 series.",Business,"13 Jul, 2022 ",xiaomi new offer xiaomi nepal global technology leader announced amazing bundle offer purchase variant redmi note redmi note pro redmi note pro g redmi note series xiaomi xiaomi x xiaomi series.
NMB-Flywire pact,NMB Bank Nepal has announced a strategic partnership with Flywire Corporation to digitise the payment experience for Nepali students studying abroad.,Business,"12 Jul, 2022 ",nmb flywire pact nmb bank nepal announced strategic partnership flywire corporation digitise payment experience nepali student studying abroad.
Inflation at nearly six-year high,The year-on-year consumer price inflation (CPI) soared to nearly a six-year high of 8.56 per cent in the 11th month (mid-May to mid-June) of fiscal year 2021-22 compared to 4.19 per cent a year ago,Business,"12 Jul, 2022 ",inflation nearly six year high year year consumer price inflation cpi soared nearly six year high . per cent th month mid may mid june fiscal year compared . per cent year ago
Nabil completes acquisition of NBB,Nabil Bank has announced the completion of the Nepal Bangladesh Bank (NBB) acquisition process.,Business,"12 Jul, 2022 ",nabil completes acquisition nbb nabil bank announced completion nepal bangladesh bank nbb acquisition process.
Forex reserves increase by $170m in one month,"Slight improvement in remittance inflow coupled with import restrictions on certain non-essential goods seem to have propped up the country’s foreign exchange reserves, which rose by $170 million in the one-month period between mid-May and mid-June, as per the latest macroeconomic update unveiled by the Nepal Rastra Bank (NRB) on Monday.",Business,"12 Jul, 2022 ",forex reserve increase one month slight improvement remittance inflow coupled import restriction certain non essential good seem propped country foreign exchange reserve rose million one month period mid may mid june per latest macroeconomic update unveiled nepal rastra bank nrb monday.
Twitter slides after Musk's $44 bln deal falls apart,Shares of Twitter Inc TWTR.K fell about 6% in premarket trading on Monday as a legal tussle between Elon Musk and the social media company is expected to take center stage after the world's richest person walked away from the $44 billion deal.,Business,"11 Jul, 2022 ",twitter slide musk bln deal fall apart share twitter inc twtr.k fell premarket trading monday legal tussle elon musk social medium company expected take center stage world richest person walked away billion deal.
Beko inverter ACs,CG Electronics has unveiled energy-efficient inverter air-conditioners of the European electronics brand Beko in the Nepali market.,Business,"11 Jul, 2022 ",beko inverter ac cg electronics unveiled energy efficient inverter air conditioner european electronics brand beko nepali market.
Veggie prices in valley skyrocket,"​​​​​​​Sajan Jaiswal, a student who used to spend Rs 3,000 per month on green vegetables before the coronavirus pandemic struck, now has to expend Rs 5,000.",Business,"10 Jul, 2022 ",veggie price valley skyrocket sajan jaiswal student used spend r per month green vegetable coronavirus pandemic struck expend r .
Fertilisers shortage dampen joy of farmers,"The favourable monsoon this year is making Raj Man Salaju, a farmer from Thimi, Bhaktapur, all the more miserable thinking of the lost opportunity for a bumper harvest.",Business,"08 Jul, 2022 ",fertiliser shortage dampen joy farmer favourable monsoon year making raj man salaju farmer thimi bhaktapur miserable thinking lost opportunity bumper harvest.
"Nabil, NBB services",Nabil Bank and Nepal Bangladesh Bank have announced that all their banking services are being suspended from Friday till July 10.,Business,"08 Jul, 2022 ",nabil nbb service nabil bank nepal bangladesh bank announced banking service suspended friday till july .
Minister Bhusal urges Indian envoy to focus on PMP,"Newly appointed Ambassador of India to Nepal Naveen Srivastava has paid a courtesy call on Minister for Energy, Water Resources and Irrigation Pampha Bhusal.",Business,"07 Jul, 2022 ",minister bhusal urge indian envoy focus pmp newly appointed ambassador india nepal naveen srivastava paid courtesy call minister energy water resource irrigation pampha bhusal.
Domestic airlines hike airfare,Operators of domestic airlines have hiked airfare for all sectors after the Nepal Oil Corporation raised the price of aviation turbine fuel for domestic airline companies.,Business,"07 Jul, 2022 ",domestic airline hike airfare operator domestic airline hiked airfare sector nepal oil corporation raised price aviation turbine fuel domestic airline companies.
Samsung Galaxy F13,Samsung has announced the launch of Galaxy F13 in Nepal. The latest addition to the popular Galaxy F series offers unprecedented style and experience to the aspirational Gen Z and millennial consumers while delivering the best of everything.,Business,"06 Jul, 2022 ",samsung galaxy f samsung announced launch galaxy f nepal. latest addition popular galaxy f series offer unprecedented style experience aspirational gen z millennial consumer delivering best everything.
Stronger dollar to quicken inflation,"The devaluation of the local currency against the US dollar will exacerbate the woes of an import-based economy of Nepal, with the surge in import bills adding more inflationary pressure, according to experts.",Business,"06 Jul, 2022 ",stronger dollar quicken inflation devaluation local currency u dollar exacerbate woe import based economy nepal surge import bill adding inflationary pressure according experts.
Import of agro products exceeds export,"The cardamom produced in Nepal is exported to India, Bangladesh and Russia, according to senior agronomist Devindra Shahu.",Business,"05 Jul, 2022 ",import agro product exceeds export cardamom produced nepal exported india bangladesh russia according senior agronomist devindra shahu.
NIBL Ace offer,NIBL Ace Capital Ltd had launched various attractive schemes on the occasion of Nepali New Year 2079 BS.,Business,"05 Jul, 2022 ",nibl ace offer nibl ace capital ltd launched various attractive scheme occasion nepali new year bs.
NOC hikes price of petroleum products,Nepal Oil Corporation (NOC) has increased the price of petroleum products effective from tonight.,Business,"04 Jul, 2022 ",noc hike price petroleum product nepal oil corporation noc increased price petroleum product effective tonight.
"Country needs a tourism university, says Dahal",Former prime minister and Chairman of CPN-Maoist (Centre) Puspa Kamal Dahal ‘Prachanda’ has said he is committed to establishing a tourism university in Nepal.,Business,"03 Jul, 2022 ",country need tourism university say dahal former prime minister chairman cpn maoist centre puspa kamal dahal prachanda said committed establishing tourism university nepal.
"Gold, silver prices drop",The price of precious metals declined in the trading week between June 26 and July 1.,Business,"03 Jul, 2022 ",gold silver price drop price precious metal declined trading week june july .
Nepse surges nearly nine per cent,"The annual trend of share market rallying towards the end of the fiscal year could again be witnessed in the trading period between June 26 and July 1, with the Nepal Stock Exchange (Nepse) index surging by 166.71 points or 8.9 per cent week-onweek.",Business,"03 Jul, 2022 ",nepse surge nearly nine per cent annual trend share market rallying towards end fiscal year could witnessed trading period june july nepal stock exchange nepse index surging . point . per cent week onweek.
One year of 'Nabil Sustainable Banking',"Nabil Bank, Nepal’s leading private sector bank, has marked its one year in sustainable banking practice, which was launched on National Paddy Day, on Asar 15, 2078 BS or June 29, 2021.",Business,"02 Jul, 2022 ",one year nabil sustainable banking nabil bank nepal leading private sector bank marked one year sustainable banking practice launched national paddy day asar b june .
Neupane appointed,Nepal Chamber of Commerce has appointed Pradeep Neupane as its honorary trade representative for South China.,Business,"02 Jul, 2022 ",neupane appointed nepal chamber commerce appointed pradeep neupane honorary trade representative south china.
Rs 1.72 billion worth of surplus power exported to India,The state-owned Nepal Electricity Authority (NEA) has traded surplus power worth Rs 1.72 billion within a month in the Indian energy market at competitive rate.,Business,"02 Jul, 2022 ",r . billion worth surplus power exported india state owned nepal electricity authority nea traded surplus power worth r . billion within month indian energy market competitive rate.
India raises import tax on gold to 12.5% from 7.5%,"​​​​​​​India has raised its basic import duty on gold to 12.5% from 7.5%, the government said in a notification on Friday, as the world's second biggest consumer of the precious metal tries to dampen its demand.",Business,"01 Jul, 2022 ",india raise import tax gold . . india raised basic import duty gold . . government said notification friday world second biggest consumer precious metal try dampen demand.
Market recovery accelerates as positive cues boost sentiment,Investor sentiment got a major boost today on the reports of the market regulator and other government authorities hinting at revision of provisions that would be favourable for the secondary market.,Business,"01 Jul, 2022 ",market recovery accelerates positive cue boost sentiment investor sentiment got major boost today report market regulator government authority hinting revision provision would favourable secondary market.
Capital expenditure at less than 40 per cent,"With the fiscal year 2021-22 set to end in mid-July, the government has yet again failed to spend adequate capital budget allocated for development projects. So far, the government has spent just 39.96 per cent of its allocated capital budget.",Business,"01 Jul, 2022 ",capital expenditure le per cent fiscal year set end mid july government yet failed spend adequate capital budget allocated development projects. far government spent . per cent allocated capital budget.
Two more int'l airlines to operate regular flights from TIA,Two more international airlines are going to operate their regular flights from Tribhuvan International Airport.,Business,"30 Jun, 2022 ",two int l airline operate regular flight tia two international airline going operate regular flight tribhuvan international airport.
New Sprite flavour,"Nepal’s most loved lemon-lime beverage, Sprite has introduced a new taste of the Classic Sprite that combines the new refreshing notes with the flavour of natural lemon, offering consumers a more exciting flavour.",Business,"30 Jun, 2022 ",new sprite flavour nepal loved lemon lime beverage sprite introduced new taste classic sprite combine new refreshing note flavour natural lemon offering consumer exciting flavour.
IRD for e-billing,"During a discussion held with a delegation of the Federation of Nepal Gold and Silver Dealers Association (FeNeGoSiDA), the Inland Revenue Department (IRD) has urged traders to issue the electronic invoicing (e-billing).",Business,"30 Jun, 2022 ",ird e billing discussion held delegation federation nepal gold silver dealer association fenegosida inland revenue department ird urged trader issue electronic invoicing e billing .
Power supply to western region to improve,"​​​​​​​A partial section of the Bharatpur-Bardaghat 220 kV transmission line from Bharatpur of Chitwan to Bardaghat of Nawalparasi (east of Bardaghat Susta) has come into operation, which is expected to improve the power supply to the western region.",Business,"29 Jun, 2022 ",power supply western region improve partial section bharatpur bardaghat kv transmission line bharatpur chitwan bardaghat nawalparasi east bardaghat susta come operation expected improve power supply western region.
Domestic airlines conduct first flight from outside valley,"For the first time in Nepal’s aviation history, domestic airlines conducted their first flight for the day from six airports outside the valley today.",Business,"29 Jun, 2022 ",domestic airline conduct first flight outside valley first time nepal aviation history domestic airline conducted first flight day six airport outside valley today.
Mergers between insurance firms on the rise,"Following the direction of the Insurance Board (IB) for insurers to increase their paid-up capital, there has been a growing trend of insurance companies coming together to sign a merger deal in the country, showing signs of growing consolidation in the sector.",Business,"28 Jun, 2022 ",merger insurance firm rise following direction insurance board ib insurer increase paid capital growing trend insurance company coming together sign merger deal country showing sign growing consolidation sector.
Mahindra unveils all-new Scorpio-N in Nepal,"Mahindra & Mahindra Ltd, pioneers of the SUV segment in Nepal, today unveiled its much-awaited SUV, the ‘all-new Scorpio-N’.",Business,"28 Jun, 2022 ",mahindra unveils new scorpio n nepal mahindra mahindra ltd pioneer suv segment nepal today unveiled much awaited suv new scorpio n .
Tourism minister assumes office,"Newly appointed Minister for Culture, Tourism and Civil Aviation Jeevan Ram Shrestha has signed two agreements.",Business,"28 Jun, 2022 ",tourism minister assumes office newly appointed minister culture tourism civil aviation jeevan ram shrestha signed two agreements.
""" In a crisis, there is always an opportunity to build back better""","World Bank Managing Director for Development Policy and Partnerships, Mari Pangestu has concluded her five-day visit to Nepal, reiterating the WB’s commitment to support Nepal’s resilient recovery from the pandemic.",Business,"27 Jun, 2022 ",crisis always opportunity build back better world bank managing director development policy partnership mari pangestu concluded five day visit nepal reiterating wb commitment support nepal resilient recovery pandemic.
AOAN calls for reduction in aviation fuel price,"The Airline Operators Association of Nepal (AOAN), an umbrella organisation of domestic private airlines, has expressed strong reservations against the government’s inaction in reducing aviation fuel prices despite its decision to slash the prices of petrol and diesel on June 25.",Business,"27 Jun, 2022 ",aoan call reduction aviation fuel price airline operator association nepal aoan umbrella organisation domestic private airline expressed strong reservation government inaction reducing aviation fuel price despite decision slash price petrol diesel june .
Birgunj transit sees 73 percent increment in exports to third countries in 11 months,"Birgunj transit, the country's main trade transit, has witnessed a surge in exports by a whopping 73 percent to neighbouring India and other third countries in 11 months of the current fiscal year, 2021/22 in comparison to the corresponding period of the previous FY.",Business,"26 Jun, 2022 ",birgunj transit see percent increment export third country month birgunj transit country main trade transit witnessed surge export whopping percent neighbouring india third country month current fiscal year comparison corresponding period previous fy.
CNIYEF Nepal StartUp Fest 2022 concludes with much fanfare,"People from all walks of life thronged to the ‘CNIYEF Nepal StartUp Fest 2022’, which was held here today to promote startup businesses and highlight their potential in contributing to the nation’s economy and social wellbeing.",Business,"26 Jun, 2022 ",cniyef nepal startup fest concludes much fanfare people walk life thronged cniyef nepal startup fest held today promote startup business highlight potential contributing nation economy social wellbeing.
Fostering a culture of innovation to drive growth,"With the start-up ecosystem still in its infancy, budding entrepreneurs in Nepal often struggle with finding investors to fund their dreams, not knowing where to turn to advice and in building a team that won’t sink their venture.",Business,"25 Jun, 2022 ",fostering culture innovation drive growth start ecosystem still infancy budding entrepreneur nepal often struggle finding investor fund dream knowing turn advice building team sink venture.
"Huawei hosts ""Lighting up the Future"" exhibit at Huawei Digital Nepal Conclave 2022",Huawei hosts “Lighting up the Future” exhibit at Huawei Digital Nepal Conclave 2022,Business,"24 Jun, 2022 ",huawei host lighting future exhibit huawei digital nepal conclave huawei host lighting future exhibit huawei digital nepal conclave
CNIYEF Nepal StartUp Fest 2022 tomorrow,The Confederation of Nepalese Industries Young Entrepreneurs Forum (CNIYEF) is all set to organise ‘CNIYEF Nepal StartUp Fest 2022’ here on Saturday.,Business,"24 Jun, 2022 ",cniyef nepal startup fest tomorrow confederation nepalese industry young entrepreneur forum cniyef set organise cniyef nepal startup fest saturday.
EXPLAINER-Why is there a worldwide oil-refining crunch?,"Drivers around the world are feeling pain at the pump with fuel prices soaring, and costs are surging for heating buildings, power generation and industrial production.",Business,"23 Jun, 2022 ",explainer worldwide oil refining crunch driver around world feeling pain pump fuel price soaring cost surging heating building power generation industrial production.
Fuel import from Birgunj transit up by 78 per cent,"The import of petroleum products via country's major Birgunj transit point has surged by 78 per cent in 11 months of the current fiscal year compared to the corresponding period last fiscal year, the Birgunj Customs Office said.",Business,"23 Jun, 2022 ",fuel import birgunj transit per cent import petroleum product via country major birgunj transit point surged per cent month current fiscal year compared corresponding period last fiscal year birgunj custom office said.
ADB appoints Warren Evans as special senior adviser for climate change,"The Asian Development Bank (ADB) has appointed Warren Evans as special senior adviser (climate change), Office of the President.",Business,"23 Jun, 2022 ",adb appoints warren evans special senior adviser climate change asian development bank adb appointed warren evans special senior adviser climate change office president.
CAAN and AOAN call a truce,The Civil Aviation Authority of Nepal (CAAN) has withdrawn its earlier decision on night-parking for domestic airline and helicopter operators.,Business,"23 Jun, 2022 ",caan aoan call truce civil aviation authority nepal caan withdrawn earlier decision night parking domestic airline helicopter operators.
NEPSE declines 31.21 points on Wednesday ,NEPSE declines 31.21 points on Wednesday,Business,"22 Jun, 2022 ",nepse decline . point wednesday nepse decline . point wednesday
Huawei Nepal CEO makes special announcement for ICT development in Nepal,"CEO of Huawei Nepal, William Zhang, has remarked upon common need for ICT development and has assured that Huawei is ready to serve for the benefit of Nepali citizens.",Business,"22 Jun, 2022 ",huawei nepal ceo make special announcement ict development nepal ceo huawei nepal william zhang remarked upon common need ict development assured huawei ready serve benefit nepali citizens.
CCB-SCT agreement,Century Commercial Bank (CCB) and SmartChoice Tehcnologies (SCT) have signed an agreement to implement Smart QR targeting customers using digital payment transactions.,Business,"22 Jun, 2022 ",ccb sct agreement century commercial bank ccb smartchoice tehcnologies sct signed agreement implement smart qr targeting customer using digital payment transactions.
Honda's new offer,"Syakar Trading Company, the authorised distributor of Honda two-wheelers in Nepal, has introduced ‘Honda Monsoon Exchange’.",Business,"22 Jun, 2022 ",honda new offer syakar trading company authorised distributor honda two wheeler nepal introduced honda monsoon exchange .
Bharat Gaurav Tourist Train to arrive at Janakpur tomorrow,"The inaugural Bharat Gaurav Tourist Train, connecting destinations associated with Ramayana Circuit in Nepal and India, is scheduled to arrive at Janakpur Dham station on June 23.",Business,"22 Jun, 2022 ",bharat gaurav tourist train arrive janakpur tomorrow inaugural bharat gaurav tourist train connecting destination associated ramayana circuit nepal india scheduled arrive janakpur dham station june .
IPO allottment of Dordi Khola Jal Bidyut Company scheduled for Wednesdsay morning,IPO allottment of Dordi Khola Jal Bidyut Company scheduled for Wednesdsay morning,Business,"21 Jun, 2022 ",ipo allottment dordi khola jal bidyut company scheduled wednesdsay morning ipo allottment dordi khola jal bidyut company scheduled wednesdsay morning
The time has come to do something else,"After three decades in the banking sector, 17 years of which he served as the chief executive of different banks, Anil Shah bid farewell to the industry on Monday.",Business,"21 Jun, 2022 ",time come something else three decade banking sector year served chief executive different bank anil shah bid farewell industry monday.
CIM submits 21-point suggestion to central bank for upcoming Monetary Policy,CIM submits 21-point suggestion to central bank for upcoming Monetary Policy,Business,"20 Jun, 2022 ",cim submits point suggestion central bank upcoming monetary policy cim submits point suggestion central bank upcoming monetary policy
Marshyangdi-Kathmandu 220KV double circuit transmission line comes into operation,Construction of Marshyangdi-Kathmandu 220 KV double circuit transmission line to supply electricity from Marsyangdi River Reservoir Area Hydropower Project to the Kathmandu valley has been completed.,Business,"20 Jun, 2022 ",marshyangdi kathmandu kv double circuit transmission line come operation construction marshyangdi kathmandu kv double circuit transmission line supply electricity marsyangdi river reservoir area hydropower project kathmandu valley completed.
Two pilots mandatory in VIP chopper flights: CAAN,The Civil Aviation Authority of Nepal (CAAN) has instructed the helicopter operators to compulsorily assign two pilots in VIP helicopter flights.,Business,"20 Jun, 2022 ",two pilot mandatory vip chopper flight caan civil aviation authority nepal caan instructed helicopter operator compulsorily assign two pilot vip helicopter flights.
Nabil Bank ties up with Qatar Airways,Nabil Bank has entered into a partnership with Qatar Airways to provide special privileges to Nabil cardholders.,Business,"20 Jun, 2022 ",nabil bank tie qatar airway nabil bank entered partnership qatar airway provide special privilege nabil cardholders.
80 per cent progress achieved in construction of new Bharatpur 220 KV substation: NEA,The construction of the new Bharatpur 220 /132 KV substation currently underway at Aaptari of Bharatpur Metropolitan City-11 of Chitwan district is about 80 per cent complete.,Business,"20 Jun, 2022 ",per cent progress achieved construction new bharatpur kv substation nea construction new bharatpur kv substation currently underway aaptari bharatpur metropolitan city chitwan district per cent complete.
Nepse at 18-month low,"The secondary market plunged below the threshold of 2,000 points over the review week from June 13 to 17.",Business,"19 Jun, 2022 ",nepse month low secondary market plunged threshold point review week june .
"Bitcoin drops below $20,000 as crypto selloff quickens","Bitcoin drops below $20,000 as crypto selloff quickens",Business,"18 Jun, 2022 ",bitcoin drop crypto selloff quickens bitcoin drop crypto selloff quickens
Realty sector recovery stalls,"The recovery seen in the realty sector earlier this year seems to be slowing down, with the number of transactions and revenue taking a hit in the recent months.",Business,"18 Jun, 2022 ",realty sector recovery stall recovery seen realty sector earlier year seems slowing number transaction revenue taking hit recent months.
WB's DNA project to connect 1 million people to broadband,The World Bank’s board of executive directors have approved $140 million for the Digital Nepal Acceleration (DNA) Project to expand access to broadband and engage more people in the digital economy.,Business,"18 Jun, 2022 ",wb dna project connect million people broadband world bank board executive director approved million digital nepal acceleration dna project expand access broadband engage people digital economy.
"Global IME, Bank of Kathmandu to merge",Consolidation in the country’s banking sector through mergers and acquisitions seems to be gathering momentum with two more commercial banks announcing marriage in a span of less than a week.,Business,"17 Jun, 2022 ",global ime bank kathmandu merge consolidation country banking sector merger acquisition seems gathering momentum two commercial bank announcing marriage span le week.
More fuel price hikes loom large,Nepali consumers better brace themselves for surge in fuel prices in the coming days as Nepal Oil Corporation NOC has said fuel subsidy should be done away with to facilitate import and distribution of petroleum products.,Business,"17 Jun, 2022 ",fuel price hike loom large nepali consumer better brace surge fuel price coming day nepal oil corporation noc said fuel subsidy done away facilitate import distribution petroleum products.
Fuel price increases in new list sent by IOC,"After adjustment of the new price list sent by IOC, petrol, diesel and kerosene will cost Rs 209.28, Rs 202.16 and Rs 147.99 per liter respectively with tax inclusion.",Business,"16 Jun, 2022 ",fuel price increase new list sent ioc adjustment new price list sent ioc petrol diesel kerosene cost r . r . r . per liter respectively tax inclusion.
Provincial govts unveil budget for fiscal 2022-23,All seven provinces presented their budget for fiscal 2022-23 at their provincial assemblies today.,Business,"16 Jun, 2022 ",provincial govts unveil budget fiscal seven province presented budget fiscal provincial assembly today.
Nepal Chamber of Commerce draws govt's attention to fulfil its demands,Nepal Chamber of Commerce (NCC) has called attention of Finance Minister Janardan Sharma to implement its suggestions through the budget.,Business,"15 Jun, 2022 ",nepal chamber commerce draw govt attention fulfil demand nepal chamber commerce ncc called attention finance minister janardan sharma implement suggestion budget.
"NEPSE to operate six days a week, effective June 15 ","NEPSE to operate six days a week, effective June 15",Business,"13 Jun, 2022 ",nepse operate six day week effective june nepse operate six day week effective june
Chery Tiggo 8 Pro,"SPG Automobiles Pvt Ltd, the sole authorised distributor for Chery cars in Nepal, has officially launched the Tiggo 8 Pro which is a flagship model for the brand.",Business,"13 Jun, 2022 ",chery tiggo pro spg automobile pvt ltd sole authorised distributor chery car nepal officially launched tiggo pro flagship model brand.
GenVoltz generators,"Tata Motors, India’s leading automobile company, along with its authorised distributor, Sipradi Trading Pvt Ltd, has launched Gen- Voltz generators in Nepal.",Business,"13 Jun, 2022 ",genvoltz generator tata motor india leading automobile company along authorised distributor sipradi trading pvt ltd launched gen voltz generator nepal.
Three hydropower plants shut for maintenance,A total of three hydropower plants in Lamjung district with total power generation capacity of 150 megawatts were shut down for 12 hours today for repair and maintenance purposes.,Business,"13 Jun, 2022 ",three hydropower plant shut maintenance total three hydropower plant lamjung district total power generation capacity megawatt shut hour today repair maintenance purposes.
Sudurpaschim Province lagging behind in economic progress despite huge potential: NRB study,"Sudurpaschim Province has lagged behind in term of economic progress despite having abundant natural resources, according to a latest study carried out by the Nepal Rastra Bank (NRB).",Business,"12 Jun, 2022 ",sudurpaschim province lagging behind economic progress despite huge potential nrb study sudurpaschim province lagged behind term economic progress despite abundant natural resource according latest study carried nepal rastra bank nrb .
"Gold, silver prices drop",The price of precious metals declined in the trading week between June 5 and 10.,Business,"12 Jun, 2022 ",gold silver price drop price precious metal declined trading week june .
Profit-booking dents share market recovery,Hopes for recovery in the secondary following the announcement that the Ministry of Finance had formed a study committee to look into the issues plaguing the share market were dashed as share investors sought to cut their losses in the subsequent trading days.,Business,"12 Jun, 2022 ",profit booking dent share market recovery hope recovery secondary following announcement ministry finance formed study committee look issue plaguing share market dashed share investor sought cut loss subsequent trading days.
"Uptick in remittance inflow, forex reserves still under pressure","The country’s foreign exchange continues to be under pressure amid widening trade deficit, although there was a slight improvement in remittance inflow in the first 10 months of the current fiscal, as per the latest macroeconomic update unveiled by the Nepal Rastra Bank today.",Business,"11 Jun, 2022 ",uptick remittance inflow forex reserve still pressure country foreign exchange continues pressure amid widening trade deficit although slight improvement remittance inflow first month current fiscal per latest macroeconomic update unveiled nepal rastra bank today.
Nepathya leaves audience spellbound at Adelaide concert,"From folk tune filled 'Sirfula' to sentimental hit 'Yo Zindagani', the audience swayed and sang with Amrit Gurung, Nepathya vocalist.",Entertainment,"29 Jan, 2023 ",nepathya leaf audience spellbound adelaide concert folk tune filled sirfula sentimental hit yo zindagani audience swayed sang amrit gurung nepathya vocalist.
Nepathya begins Australia tour with Darwin concert,"The band played a mix of old and new hits, much to the delight of the audience.",Entertainment,"26 Jan, 2023 ",nepathya begin australia tour darwin concert band played mix old new hit much delight audience.
SRK fans over the moon as 'Badshah' thanks them for support,Bollywood star Shah Rukh Khan responded to a Facebook post that shared information about his fans in Nepal ‘booking’ the entire hall for the first day-first show of his upcoming movie Pathaan at a cinema in the capital.,Entertainment,"25 Jan, 2023 ",srk fan moon badshah thanks support bollywood star shah rukh khan responded facebook post shared information fan nepal booking entire hall first day first show upcoming movie pathaan cinema capital.
'Everything Everywhere' tops Oscar nominations with 11,'Everything Everywhere' tops Oscar nominations with 11,Entertainment,"24 Jan, 2023 ",everything everywhere top oscar nomination everything everywhere top oscar nomination
Here's what to expect from Tuesday's Oscar nominations,Here's what to expect from Tuesday's Oscar nominations,Entertainment,"21 Jan, 2023 ",expect tuesday oscar nomination expect tuesday oscar nomination
Nepathya to perform in Australia,"After the grand success of 'Music for Humanity' tour across 10-cities in Nepal, Nepathya renowned folk-rock band is all set to perform in Australia.",Entertainment,"19 Jan, 2023 ",nepathya perform australia grand success music humanity tour across city nepal nepathya renowned folk rock band set perform australia.
Miss USA R'Bonney Gabriel wins Miss Universe Competition,"According to Miss Universe, Gabriel is a former high school volleyball player and graduate of the University of North Texas.",Entertainment,"16 Jan, 2023 ",miss usa r bonney gabriel win miss universe competition according miss universe gabriel former high school volleyball player graduate university north texas.
Nepathya concludes month-long tour with style in Kathmandu,"Nepal's pioneer folk-rock band, Nepathya has concluded it's month-long nationwide 'Music for Humanity' tour with a massive performance in Kathmandu on Saturday.",Entertainment,"01 Jan, 2023 ",nepathya concludes month long tour style kathmandu nepal pioneer folk rock band nepathya concluded month long nationwide music humanity tour massive performance kathmandu saturday.
Nepathya rocks Butwal with 'Music for Humanity' concert,"Nepathya, Nepal's famous folk-rock band, rocked Butwal with it's mesmerizing performance 'Music for Humanity' on Saturday.",Entertainment,"25 Dec, 2022 ",nepathya rock butwal music humanity concert nepathya nepal famous folk rock band rocked butwal mesmerizing performance music humanity saturday.
Nepathya performs 'Music for Humanity' in Dhangadhi,"After a grand success in Nepalgunj, Nepal's famous folk-rock band, Nepathya performed 'Music for Humanity' in Dhangadhi on Sunday.",Entertainment,"19 Dec, 2022 ",nepathya performs music humanity dhangadhi grand success nepalgunj nepal famous folk rock band nepathya performed music humanity dhangadhi sunday.
"Golden Globes, hobbled by scandal, set to announce noms","After scandal and boycott plunged the Hollywood Foreign Press Association into disarray and knocked the Golden Globes broadcast off television for a year, the annual film and television awards are set to announce nominations Monday.",Entertainment,"12 Dec, 2022 ",golden globe hobbled scandal set announce noms scandal boycott plunged hollywood foreign press association disarray knocked golden globe broadcast television year annual film television award set announce nomination monday.
Nepathya performs 'Music for Humanity' in Hetauda,"After the Hetauda concert, the band will travel with their entourage to Narayanghat to perform at Kyampachaur on December 11.",Entertainment,"09 Dec, 2022 ",nepathya performs music humanity hetauda hetauda concert band travel entourage narayanghat perform kyampachaur december .
Charlize Theron honored at Women in Entertainment gala,"For once, Charlize Theron has begun to witness more women in power roles with the film industry.",Entertainment,"08 Dec, 2022 ",charlize theron honored woman entertainment gala charlize theron begun witness woman power role film industry.
Nepathya kick-offs 'Music for Humanity' tour with Biratnagar concert,"Nepal folk-rock band, Nepathya kicked-off 'Music for Humanity' tour with a mesmerizing performance in Biratnagar on Friday.",Entertainment,"04 Dec, 2022 ",nepathya kick offs music humanity tour biratnagar concert nepal folk rock band nepathya kicked music humanity tour mesmerizing performance biratnagar friday.
International theatre fest off to joyous start after hiatus of three years,"Jayaraj Kumar Roy Danuwar Kathmandu The second edition of the Nepal International Theatre Festival (NITFest) 2022 kicked off with the slogan ‘Theatre for Social Transformation: Celebrating Diversity’ at Mandala Theatre, Thapagaun on November 25.",Entertainment,"26 Nov, 2022 ",international theatre fest joyous start hiatus three year jayaraj kumar roy danuwar kathmandu second edition nepal international theatre festival nitfest kicked slogan theatre social transformation celebrating diversity mandala theatre thapagaun november .
Nepathya releases music video for 'Bhat Bhate',Nepal's famous folk-rock band Nepathya has released a new music video for 'Bhat Bhate' on Friday.,Entertainment,"11 Nov, 2022 ",nepathya release music video bhat bhate nepal famous folk rock band nepathya released new music video bhat bhate friday.
