headline,body,location,time_published
"Gold, silver prices dip",The price of precious metals decreased in the trading week between August 28 and September 2.,Business,"04 Sep, 2022 "
"Nepse index drops below 2,000-point threshold","The Nepal Stock Exchange (Nepse) index fell by 2.57 per cent or 52 points during the trading week between August 28 and September 2 to settle at 1,970.62 points.",Business,"04 Sep, 2022 "
NICCI pays courtesy call on newly appointed finance secretary,"A delegation led by President of Nepal-India Chamber of Commerce and Industry (NICCI) Shreejana Rana met the newly appointed Finance Secretary Krishna Hari Pushkar at his office, in Singha Durbar today.",Business,"03 Sep, 2022 "
Over 300k foreigners visit Nepal in 8 months,"A total of 326,667 foreign tourists visited Nepal in the first eight months of 2022, showing a strong recovery in the country’s tourism sector compared to the 230,085 tourists who arrived in the country in 2020 and 150,962 in 2021. However, the arrivals are yet to recover before the pandemic struck.",Business,"03 Sep, 2022 "
NOC owes Rs 21 billion to Indian Oil Corporation,The Nepal Oil Corporation (NOC) has said that it has to pay Rs 21 billion till last of August to the Indian Oil Corporation (IOC) for the purchase of petroleum products.,Business,"02 Sep, 2022 "
Nabil bags award,Nabil Bank has bagged ‘Excellence in Consumer Debit Cards Business 2022’ and ‘Excellence in E-commerce Acquiring Business 2022’ awards for its excellent growth and achievements in debit card and e-commerce acquiring business amongst all banks in Nepal.,Business,"02 Sep, 2022 "
Samsung Smart Plaza,"Him Electronics, the authorised distributor of Samsung electronics and home appliances in Nepal, upgraded its sophisticated showroom at Durbarmarg, making it first ever GSI 4.0 in the nation.",Business,"02 Sep, 2022 "
B&D festive offer,"Black and Decker (B&D), the top American brand, has launched a ‘Double Delight’ festive offer on the occasion of the upcoming Dashain and Tihar.",Business,"02 Sep, 2022 "
Coca-Cola Zero Sugar,Coca-Cola in Nepal has launched the new Coca-Cola Zero Sugar in RGB (returnable glass bottle) for consumers who are looking to refresh themselves with the same taste of Coca-Cola but without the sugar and calories.,Business,"02 Sep, 2022 "
Agni's new AD 2S Service Centre,"The authorised distributor of Mahindra for Nepal, Agni Group has recently inaugurated its 2S Service Centre at Damak.",Business,"02 Sep, 2022 "
SEBON grants approval,The Securities Board of Nepal (SEBON) has granted licences to seven additional merchant banks to operate venture capital businesses.,Business,"02 Sep, 2022 "
Yeti Distillery launches 8848 Rye Vodka,Yeti Distillery Pvt Ltd has launched 8848 Rye Vodka with a special limited-edition release featuring the artwork of renowned artist Tsherin Sherpa.,Business,"02 Sep, 2022 "
"SEJON, NBA sign MoU",Society of Economic Journalists of Nepal (SEJON) and Nepal Bar Association (NBA) have signed a memorandum of understanding (MoU) to enhance the capacity of economic journalists related to economy and corporate law.,Business,"01 Sep, 2022 "
QFX-Khalti pact,QFX Cinemas has exclusively partnered with Khalti for movie ticket purchase through their app. QFX customers can now buy movie tickets either from QFX app and website or Khalti app.,Business,"01 Sep, 2022 "
Samsung's new offer,"Samsung, the leading mobile company in Nepal, has announced yet another exciting consumer offer — ‘Yo Barsha ko Upahaar Daily TV, Dyammai Car’ for its consumers this festive season.",Business,"01 Sep, 2022 "
'Research is the key to a fine product',"Founded by partners Asim Basnet and Prakash Shrestha in 2018, Dark Matter Production specialises in developing mobile games, a market still in its infancy in Nepal.",Business,"01 Sep, 2022 "
Govt decision to extend import restrictions draws flak,"Economists and traders have criticised the government’s decision to extend import restriction of certain non-essential items, terming the move ‘irrational and politically driven’.",Business,"01 Sep, 2022 "
Over 50pc in Asia and the Pacific still lack social protection: ILO,"Fewer than half the population of Asia and the Pacific have access to any social protection benefits, and public spending on social protection in the region is significantly below the global average, a new report by the International Labour Organisation (ILO) has found.",Business,"31 Aug, 2022 "
Share market investors warn of protests,"Agitated investors of the secondary market have warned of protests against the ruling coalition if the proposals made by the Securities Board of Nepal (SEBON), which were submitted to the Cabinet and have since been forgotten, are not approved within two days.",Business,"31 Aug, 2022 "
NEA's fast charging station for EVs launched,A fast charging station for electric vehicles built by the Nepal Electricity Authority (NEA) has come into operation.,Business,"31 Aug, 2022 "
Jazeera Airways to operate flights at GBIA on daily basis from September 6,"The airline company is operating flights to and from Nepal, India, Pakistan, Sri Lanka and Europe.",Business,"30 Aug, 2022 "
Nepal and World Bank sign $100m financing agreement to support Nepal's GRID,"The government of Nepal and the World Bank on Monday signed a concessional financing agreement for $100 million (equivalent to Rs 12.7 billion) for Green, Resilient, and Inclusive Development (GRID).",Business,"30 Aug, 2022 "
"'Tech, trust key to expansion of capital market'",Chairman of Securities Board of Nepal (SEBON) Ramesh Hamal has stressed on developing technological mediums and building a sense of trust among concerned stakeholders for the expansion of the capital market in the country.,Business,"30 Aug, 2022 "
"Nepal, WB sign Rs 12.7 billion Financing Agreement to Support GRID",It also supports policy actions of Government of Nepal for strategic GRID transitions that help build and maintain prosperity for all.,Business,"29 Aug, 2022 "
DoT begins distributing climbing permits,The Department of Tourism (DoT) has commenced distribution of expedition permits for the upcoming autumn season.,Business,"29 Aug, 2022 "
Economic prosperity only possible thru promotion of small-scale domestic industries: FNCSI,"Minister for Industry, Tourism and Forests of Madhes Province Shatrughan Mahato has said that foundation of industrialisation will be strengthened only if domestic and small industries that produce indigenous products in the country are preserved.",Business,"29 Aug, 2022 "
"Nepal will be fully electrified in two years, says minister","Minister for Energy, Water Resources and Irrigation Pampha Bhusal has said that Nepal will be fully electrified in the next two years.",Business,"29 Aug, 2022 "
Gold and silver prices rise slightly,​​​​​​​The price of precious metals witnessed a slight increase in the trading week between August 21 and 26.,Business,"28 Aug, 2022 "
Nepse drops over 2pc on low investor sentiment,Weak investor sentiment caused the Nepal Stock Exchange (Nepse) index to lose 45.64 points or 2.21 per cent during the trading week of August 21 to 26.,Business,"28 Aug, 2022 "
"'We're committed to providing continuous assistance for service, parts, and warranty on Ford vehicles'","After Ford stopped manufacturing cars in India in September of 2021, there have been widespread concerns about unavailability of services and spare parts of Ford vehicles in Nepal.",Business,"27 Aug, 2022 "
Himalaya Airlines conducts test flight at Gautam Buddha Airport,Himalaya Airlines tested test flights at newly constructed Gautam Buddha International Airport in Bhairahawa.,Business,"26 Aug, 2022 "
'Expecting special treatment just because one is a woman doesn't work in business',"Established by former IT employee Dibyswory Dhar Dali in 2015, Digital Age Nepal has been developing financial technology (fintech) solutions that monitor transactions at the financial institutions of Nepal.",Business,"26 Aug, 2022 "
Bangladesh to purchase 40-50 MW energy from Nepal,"During a meeting of the secretary-level Joint Steering Committee (JSC) formed for energy cooperation between Nepal and Bangladesh held today, agreement was reached to export 40 MW to 50 MW of energy to Bangladesh.",Business,"26 Aug, 2022 "
Govt to construct terminal building in three airports,"According to CAAN, there are a total of 53 airports in the nation and of them, 33 are in operation while 20 are yet to be operated.",Business,"25 Aug, 2022 "
Samsung Electronics Global CFO HK Park pays courtesy call to Prime Minister Deuba,Samsung Electronics Global President and CFO HK Park paid a courtesy visit to Prime Minister Sher Bahadur Deuba on Wednesday during his official visit to Nepal.,Business,"25 Aug, 2022 "
Bangladesh keen to invest in Sunkoshi-III,Bangladesh has expressed interest to invest in the 683-megawatt (MW) Sunkoshi-III Semi-Reservoir Project in the Sunkoshi River on the border of Ramechhap and Kavre districts.,Business,"25 Aug, 2022 "
"Samsung, Him Electronics to set up TV factory in Nawalparasi","Him Electronics, a subsidiary company under Golchha Group, along with Samsung have announced plans to set up a television factory in Nawalparasi, giving a boost to the country’s electronics sector.",Business,"25 Aug, 2022 "
FNNTE calls on govt to reduce fuel prices,The Federation of Nepalese National Transport Entrepreneurs (FNNTE) has yet again expressed its concerns with the government for not revising the price of petroleum products even after their price has dropped three times in the international market.,Business,"24 Aug, 2022 "
Country's trade deficit narrows by 10.38pc,The government’s decision to give continuity to the ban on import of non-essential items listed under 10 categories limited the country’s trade deficit to Rs 116.476 billion in the first month (mid-July to mid-August) of the current fiscal year 2022-23.,Business,"24 Aug, 2022 "
"Country's export, import shrink in first month of current fiscal year",The Department stated that a total of Rs 31.96 billion in revenue was collected from the import of goods in the first month of the current fiscal year.,Business,"23 Aug, 2022 "
'Himalayan Vegan Festival 2022' to promote plant-based diet and culinary tourism,‘Himalayan Vegan Festival 2022’ to promote plant-based diet and culinary tourism,Business,"23 Aug, 2022 "
Rs 1.84 billion worth of surplus power exported to India,The state-owned Nepal Electricity Authority (NEA) has traded surplus power worth Rs 1.84 billion in the first month (mid-July to mid-August) of the current fiscal year 2022-23 at competitive rate in the Indian energy market.,Business,"22 Aug, 2022 "
SEBON approval delays hit aspiring venture capitalists,"As the small and medium enterprises and start-ups in the country struggle to secure financing, the Securities Board of Nepal continues to dilly-dally in granting approval to the private equity funds to operate venture capital businesses.",Business,"22 Aug, 2022 "
NEA exports power worth around Rs 2 billion to India in first month of current FY,Power exports took place through the 400 kV Dhalkebar-Muzaffarpur transmission line.,Business,"21 Aug, 2022 "
Precious metals fall as dollar firms,The price of precious metals fell in the trading week between August 14 and 19 as a stronger US dollar index that is back near its 20-year high scored in July squelched buying interest in the precious metals markets.,Business,"21 Aug, 2022 "
Nepse index gains 1.49pc,"Despite some high anticipation of the share market’s growth following the introduction of the new Monetary Policy for fiscal year 2022-23, Nepal Stocks Exchange (Nepse) index is lower than it was compared to the end of July when the market index stood at 2,195.10 points.",Business,"21 Aug, 2022 "
'Labour Minister with Workers',"Minister for Labour, Employment and Social Security Sher Bahadur Kunwar will be in discussion with the labourers for one hour every Sunday.",Business,"20 Aug, 2022 "
50pc discount on ground handling for foreign airlines operating at GBIA,The Civil Aviation Authority of Nepal (CAAN) has decided to provide 50 per cent discount on ground handling charges to the international airline companies operating regular flights to and from Gautam Buddha International Airport (GBIA).,Business,"20 Aug, 2022 "
"Government, private sector bat for investment from Indian investors",The government and the private sector have urged Indian investors to invest in Nepal.,Business,"19 Aug, 2022 "
NHPC entrusted with developing West Seti and Seti River-6 hydel projects,"The Investment Board Nepal (IBN) has signed a memorandum of understanding (MoU) with NHPC Ltd of India, entrusting it with the task of developing two hydropower projects in the country — West Seti Hydro Electric Project and Seti River-6 Hydro Electric Project.",Business,"19 Aug, 2022 "
"Govt committed to protecting IPR, says Badu","Minister for Industry, Commerce and Supplies Dilendra Prasad Badu has reiterated the government’s commitment to protection of intellectual property rights (IPR) to motivate intellectuals and creative individuals and companies, and facilitate and enhance foreign direct investment (FDI) for economic prosperity.",Business,"18 Aug, 2022 "
'Improvement of energy sector a must for Nepal's development',"Minister for Energy, Water Resources, and Irrigation Pampha Bhusal has said that the improvement of the energy sector is crucial for the country’s development.",Business,"18 Aug, 2022 "
SSF app launched,"The Social Security Fund (SSF), under the Ministry of Labour, Employment and Social Security, has launched its SSF app, through which contributors will be able to avail different types of loan facilities.",Business,"18 Aug, 2022 "
Bastola elected TAAN president,Nilhari Bastola has been elected the president of Trekking Agencies Association of Nepal (TAAN).,Business,"17 Aug, 2022 "
"'Product is just a part of the ecosystem, understanding its outer layers is crucial'","‘Product is just a part of the ecosystem, understanding its outer layers is crucial’",Business,"17 Aug, 2022 "
Nepal's BoP deficit at Rs 255.26 billion,"Nepal’s balance of payments (BoP) deficit stood at Rs 255.26 billion in the fiscal year 2021-22 that ended in mid-July compared to a surplus of Rs 1.23 billion recorded in the previous fiscal year, the latest macroeconomic update of Nepal Rastra Bank (NRB) shows.",Business,"17 Aug, 2022 "
BFIs should focus on investing in productive sectors: NPC vice-chair,Vice Chairperson of National Planning Commission Biswo Nath Poudel has said the economic transformation and poverty alleviation is only possible if the banking and financial institutions (BFIs) accelerate financial access to the general public by focusing investment on productive sectors.,Business,"15 Aug, 2022 "
NMA seeks govt support to further develop mountaineering sector,President of Nepal Mountaineering Association (NMA) Nima Nuru Sherpa has requested the government’s support to further develop the sector.,Business,"15 Aug, 2022 "
Gold and silver prices increase,The price of precious metals increased slightly in the trading week between August 7 and 12.,Business,"14 Aug, 2022 "
Nepse index plunges 75.63 points,"The Nepal Stock Exchange (Nepse) index fell by 3.58 per cent or 75.63 points over the trading week between August 7 and 12 to settle at 2,037.92 points.",Business,"14 Aug, 2022 "
'There is a void between the start-ups and investors in Nepal',"Established in 2018 by former INGO employees Dipesh Regmi and Sushant Rai, VoxCrow is a voice over internet protocol (VoIP) startup providing systematic digital communication solutions to companies to communicate better with customers in cost-effective and convenient manner.",Business,"13 Aug, 2022 "
NTA to launch MDMS on Sept 15,The Nepal Telecommunications Authority (NTA) is set to launch the Mobile Device Management System (MDMS) on September 15 in a bid to control the illegal import of mobile phones into the country.,Business,"13 Aug, 2022 "
IFC invests $45 million in two Nepali financial institutions,"Small businesses and people in Nepal will have better access to financing, with International Finance Corporation (IFC)’s broader strategy for small and medium enterprises (SMEs) aiming to reach over 30,000 SMEs by 2023 while helping to improve inclusiveness, competitiveness, and sustainability of the financial sector in the country.",Business,"12 Aug, 2022 "
"Recovery in youth employment is still lagging, says ILO","Recovery in youth employment is still lagging, according to a new report by the International Labour Organisation (ILO), which confirms that the COVID-19 pandemic has hurt young people more than any other age group.",Business,"12 Aug, 2022 "
FNCCI-MoICS pact to implement PPP campaign,"The Federation of Nepalese Chamber of Commerce and Industry (FNCCI) has signed a memorandum of understanding (MoU) with the Ministry of Industry, Commerce, and Supplies with the aim of implementing the public-private partnership (PPP) campaign for the economic transformation of the country.",Business,"12 Aug, 2022 "
Gold dealers warn of scammers selling fake jewellery,"The Federation of Nepal Gold and Silver Dealers’ Association (FeNeGoSiDA) has warned all concerned to be alert as there are increasing cases of scammers trying to sell fake jewellery in various cities across the country, including Kathmandu.",Business,"11 Aug, 2022 "
"Himalayan Bank, American Express launch two new cards","Himalayan Bank Ltd (HBL) and American Express have launched two new Cards — Himalayan Bank American Express Credit Card and Himalayan Bank Prepaid American Express Card in Nepal, catering both to outbound travellers and local customers.",Business,"11 Aug, 2022 "
Tourism activist Jyoti Lal Khanna passes away,"Jyoti Lal Khanna — a founder member of Pacific Asia Travel Association (PATA), Nepal Chapter and a pioneer tourism activist — passed away last night at his residence in New Delhi. He was 83 years of age and suffered a heart attack.",Business,"11 Aug, 2022 "
Govt committed to encouraging investors: PM,Prime Minister Sher Bahadur Deuba has said the government is committed to carry out reforms that encourage and attract investors.,Business,"11 Aug, 2022 "
NEA's profit projected to surge more than 164pc,Nepal Electricity Authority (NEA) has projected that its annual profit in the fiscal year 2021-22 soared by more than 164 per cent.,Business,"11 Aug, 2022 "
"NHPC to conduct joint study of West Seti, Seti River-6 hydel projects","The 52nd meeting of the Investment Board of Nepal (IBN) held on Monday decided to hand over the responsibility of conducting a joint study on the 750 MW West Seti Storage Hydropower Project and 450 MW Seti River-6 Hydropower Project in Sudurpaschim Province to NHPC Ltd, government of India, for their further development.",Business,"10 Aug, 2022 "
Pokhara Auto Works,"The authorised distributor of Mahindra for Nepal, Agni Group has recently inaugurated the new 2S service centre, Pokhara Auto Works at Parshyang, Pokhara.",Business,"09 Aug, 2022 "
Banks face scarcity of fresh deposits again,"After a deposit growth spurt towards the end of the last fiscal year, commercial banks are again facing scarcity of fresh deposits in current fiscal year 2022-23.",Business,"09 Aug, 2022 "
"Gold price increases, silver dips slightly","The price of yellow metal increased, while silver price dipped slightly in the trading week between June 31 and August 6.",Business,"07 Aug, 2022 "
Nepse index loses 26.97 points,The Nepal Stock Exchange (Nepse) index fell by 26.97 points or 1.26 per cent over the trading period between June 31 and August 5.,Business,"07 Aug, 2022 "
Three 220 kV substations come into operation,Nepal Electricity Authority (NEA) has commenced the operation of three 220 kV substations on the same day.,Business,"06 Aug, 2022 "
Digital Transformation Solutions and Ecosystem,"""Digital Transformation"" refers to a thorough reform of corporate organization and their business processes, which enables enterprises to achieve sustainable growth in business through use of emerging technologies.",Business,"05 Aug, 2022 "
"Nearly 300,000 foreign visitors in seven months","A total of 285,363 foreign tourists entered Nepal in the first seven months of 2022, indicating a strong recovery in the country’s tourism sector compared to the 230,085 tourists who visited the country in 2020 and 150,962 in 2021.",Business,"05 Aug, 2022 "
WorldLink awarded,Madhes Province has conferred WorldLink Communications innovation award for ‘Emerging Sector of the Province’ for its contribution in transforming economy of the province.,Business,"04 Aug, 2022 "
Nabil's programme,Nabil Bank has concluded its digital banking and financial access enhancement programme in Kankai Municipality.,Business,"04 Aug, 2022 "
BYD makes Fortune Global 500 list,"On Wednesday, BYD made the Fortune Global 500 list for 2022, demonstrating its outstanding achievements in the market.",Business,"04 Aug, 2022 "
'Trust from investors and moving forward mutually is crucial for start-up community',"A company started by three MBBS graduates and also working doctors, Doctors on Call is an emerging start-up that seeks to provide quality health care to the elderly and patients affected by cancer and paralysis in the comfort of their own homes.",Business,"04 Aug, 2022 "
FNNTE warns of protests over increased taxes,The Federation of Nepalese National Transport Entrepreneurs has laid concern with the government for not revising the price of petroleum products even after its price has dropped twice in the international market.,Business,"04 Aug, 2022 "
Permit to operate resort within LDT revoked,The decision to grant permit to operate a resort within Lumbini Development Trust (LDT) has been scrapped.,Business,"03 Aug, 2022 "
CNI urges govt to withdraw decision to hike rent in industrial areas,"Confederation of Nepalese Industries (CNI) has requested the government to withdraw its decision to increase the rent in the industrial areas, stating that the decision will affect investment in the manufacturing industry and discourage the private sector.",Business,"03 Aug, 2022 "
Chinese high court rules in favour of HBL and BoK,The Himalayan Bank (HBL) and Bank of Kathmandu (BoK) have won a long fought legal battle in China against China Railway 15 Bureau Group to recover Rs 1.6 billion in counter guarantee money from China Construction Bank (CCB).,Business,"03 Aug, 2022 "
NICCI's courtesy call,"A delegation team from Nepal-India Chamber of Commerce and Industry (NICCI) led by Vice-President of NICCI and Business Head of Dabur Nepal Harkirat Singh Bedi along with Co-Convener of Indian Business Forum at NICCI Saibal Ghosh; Director General of NICCI, Keshab Man Singh; Deputy Director Marshal Rathour and media expert Kuber Chalise paid a courtesy call on Industry Minister Dilendra Prasad Badu at the Ministry of Industry, Commerce and Supplies on Monday.",Business,"02 Aug, 2022 "
GMR vows to complete UKHP on time,"​​​​​​​The Grandhi Mallikarjuna Rao (GMR) group, an Indian company, has expressed commitment to complete the Upper Karnali Hydropower Project within the approved time.",Business,"02 Aug, 2022 "
Law student sues CGNET for poor connection,"​​​​​​​A 22-year-old law student of Chakrabarti HaBi Education Academy College of Law, Kathmandu has sued an internet service provider for poor connection.",Business,"02 Aug, 2022 "
NSBL bags award,"Nepal SBI Bank Ltd (NSBL) has been awarded with the ‘Nepal Domestic Technology and Operations Bank of the Year’ and ‘Nepal Domestic Initiative of the Year’ under ABF Wholesale Banking Awards 2022 presented by Asian Banking and Finance, Singapore, as per a press statement.",Business,"01 Aug, 2022 "
TVS finance offer,"Jagdamba Motors, the sole distributor of TVS twowheelers in Nepal, has announced its new ‘Babbal Finance Offer’ providing various financial incentives to customers.",Business,"01 Aug, 2022 "
CAAN announces budget plans for fiscal year,"The Civil Aviation Authority of Nepal (CAAN) has allocated a budget of Rs 41.85 billion for the fiscal year 2022-23. According to the authority, the budget has prioritised upgradation of airports across the country and development of new infrastructure.",Business,"01 Aug, 2022 "
NIBL Ace Capital's 10th anniversary,"NIBL Ace capital Ltd, a pioneer merchant and investment banker in the Nepali capital market has marked its 10th anniversary.",Business,"31 Jul, 2022 "
Share market reacts positively to Monetary Policy 2022-23,"​​​​​​​The new Monetary Policy, a slight improvement in liquidity and entry of new investors in the market resulted in the Nepal Stock Exchange (Nepse) index surging by 123.06 points or 6.10 per cent over the review week from July 24 to 29.",Business,"31 Jul, 2022 "
"Gold, silver prices increase",The price of precious metals increased slightly in the trading week between July 24 and 29.,Business,"31 Jul, 2022 "
Yeti Airlines' aircraft makes 'precautionary' landing at Pokhara Airport,An aircraft of Yeti Airlines made a precautionary landing at the Pokhara Airport after an indicator light of one of its engines malfunctioned.,Business,"30 Jul, 2022 "
Hong Kong's Cathay Pacific to launch direct flights from Kathmandu to Hong Kong from October 1,"Cathay Pacific, Hong Kong’s home airline, is launching a non-stop weekly flight between Kathmandu and Hong Kong from October 1.",Business,"29 Jul, 2022 "
New TVS showroom,"Jagadamba Motors, the sole authorised distributor of TVS two-wheelers in Nepal, has launched a new showroom ‘Namo Buddha Auto Parts’ in Bhakundebasi-07, Namo Buddha.",Business,"29 Jul, 2022 "
Police seize liquor worth Rs 1.8 million,"Police have seized liquor worth more than Rs 1.8 million, which was readied for smuggling, from Nepal-India border at Manrasiswa Municipality-5 in Mahottari district.",Business,"29 Jul, 2022 "
Workshop organised,The US Embassy has organised a one-day workshop with business and government leaders to promote sustainable economic development in Nepal.,Business,"29 Jul, 2022 "
Fingers crossed: Khumbu locals hopeful of better tourist season,"Encouraged by 50 per cent recovery in tourist footfall in the Everest region last fiscal, the local business owners have poured in huge investment in hopes for a bumper tourist season this fall.",Business,"29 Jul, 2022 "
'Government announced incentives for start-ups are mostly only limited to paper',"Established by three civil engineering graduates, Skill Sewa is an emerging start-up that boasts of being the country’s first home inspection company which also offers renovation and maintenance services by providing well-trained electricians and plumbers.",Business,"28 Jul, 2022 "
"1,807 electronic vehicles imported in fiscal 2021-22","A total of 1,807 electric vehicles were imported in the country in the fiscal 2021-22.",Business,"28 Jul, 2022 "
USSEC launches Nepal's first feed label 'Soy Fed',"​​​​​​​The US Soybean Export Council (USSEC) in partnership with Right To Protein has announced the launch of Nepal’s first feed label — ‘Soy Fed’ — for animal protein product producers, amid a two-day programme that commenced here today.",Business,"28 Jul, 2022 "
Standard Chartered Bank reports of 62.27 per cent growth in net profit in Q4,Standard Chartered Bank reports of 62.27 per cent growth in net profit in Q4,Business,"27 Jul, 2022 "
NSBL signs MoU,Nepal SBI Bank Ltd (NSBL) has signed a memorandum of understanding with Hotel Barahi Hospitality and Leisure for providing discount on various services offered by the group.,Business,"27 Jul, 2022 "
DishHome ITV,Dish Media Network has launched IP TV service in view of the phenomenal changes in technology sector and the customers’ demand.,Business,"27 Jul, 2022 "
Yamaha's exclusive EMI scheme,"Yamaha Nepal, the official distributor of Yamaha motorcycles for Nepal, has introduced its exclusive EMI scheme with multiple facilities in the Nepali market.",Business,"27 Jul, 2022 "
"Monetary Policy to uplift economy, but has its own challenges: CBFIN","The Confederation of Banks and Financial Institutions Nepal (CBFIN), an umbrella organisation of commercial banks, development banks, and financial institutions, has said that the Monetary Policy 2022-23 released by the Nepal Rastra Bank (NRB) has taken into consideration the effects of the coronavirus pandemic, various world events, country’s economic indicators and aspirations of the general public.",Business,"27 Jul, 2022 "
Sanima VKYC service,Sanima Bank has launched Video KYC (VKYC) service for its customers. Non-residents and foreign Nepalis can open online account and verify it through VKYC from different parts of the world.,Business,"27 Jul, 2022 "
"Liquor smuggling on the rise following import ban, claims LIAN","​​​​​​​The government’s decision to ban import of liquor has increased its smuggling and dented the tax revenue, according to the Liquor Importers Association of Nepal (LIAN).",Business,"27 Jul, 2022 "
"""Huawei Cloud Enables Operators to Unleash Benefits of Connectivity""","Peng Song, President of Huawei Carrier BG Marketing & Solution Sales Dept, spoke on Wednesday about the company's newest plans for operator cloud transformation at the Carrier Cloud Transformation Summit during Win-Win·Huawei Innovation Week.",Business,"26 Jul, 2022 "
RHG expands footprint in Nepal with signing of Radisson Biratnagar,"The Centurion Mall and Hotels and Radisson Hotel Group have signed a memorandum of understanding (MoU) to operate a chain of Radisson in Biratnagar, the capital of Province 1.",Business,"26 Jul, 2022 "
Trade deficit at Rs 1.7 trillion in fiscal 2021-22,​​​​​​​The country’s trade deficit stood at a staggering Rs 1.72 trillion in the fiscal year 2021-22.,Business,"26 Jul, 2022 "
One-day conference on 'Establishing Business Incubation Centre' held,​​​​​​​A conference titled ‘Establishing Business Incubation Centre’ in a bid to strengthen the entrepreneurial ecosystem in Nepal was held here on Monday.,Business,"26 Jul, 2022 "
Nepal imports goods from 164 countries,Nepal imported goods from 164 countries during the fiscal year 2078-79 BS (2021-22).,Business,"25 Jul, 2022 "
Churiwal bags award,"The Managing Director of Mangalam Group, Abhinav Churiwal has received Corporate Business Excellence Award from Vice-President Nanda Bahadur Pun at the corporate business award ceremony held by Corporate Magazine.",Business,"25 Jul, 2022 "
MoCTCA unveils 74-point Tourism Revitalisation Action Plan-2022,"In bid to promote sustainable development of COVID-battered tourism sector, the Ministry of Culture, Tourism and Civil Aviation (MoCTCA) has released a 74-point Tourism Revitalisation Action Plan- 2022 on Sunday.",Business,"25 Jul, 2022 "
Global IME scheme,"Global IME Bank has unveiled ‘Global IME Chakrabarti Fixed Deposit Scheme’ under which the bank’s customers will be able to double, triple, quadruple or more the principle amount through term deposit.",Business,"25 Jul, 2022 "
NEPSE on bullish trend after issuance of monetary policy,"The NEPSE index has increased 61.05 points to close at 2,078.51 points.",Business,"24 Jul, 2022 "
"Gold trades at Rs 94,500 per tola","Gold has traded at Rs 94,500 per tola (11.66 grams) today. Its price was 94,000 per tola the previous trading day.",Business,"24 Jul, 2022 "
NSBL-HIN ink pact,Nepal SBI Bank Ltd (NSBL) and Heifer International Nepal (HIN) have inked an agreement on value chain financing of women entrepreneurs and smallholder farmers.,Business,"24 Jul, 2022 "
Mega's anniversary,"Mega Bank Ltd has completed 12 years of establishment and marking the occasion, provided Rs 500,000 to Samata Community Hospital located at Boudha as part of its CSR initiative.",Business,"24 Jul, 2022 "
Global IME's profit,Global IME Bank’s profit surged by 25 per cent year-onyear to stand at Rs 5.20 billion in the fiscal year 2021-22.,Business,"24 Jul, 2022 "
NTB establishes relation with Korea Alpine Federation,Nepal Tourism Board (NTB) has inked an agreement with Korea Alpine Federation to enter into mutual relationship to promote Nepali tourism in Korea.,Business,"24 Jul, 2022 "
Taskforce formed to rescue Nepali migrant workers in serious health condition,A taskforce has been formed to enquire about the condition of Nepalis undergoing treatment at hospitals on being seriously injured or ill in course of overseas employment.,Business,"23 Jul, 2022 "
"NAC pays Rs 1.35bn instalment after three years to EPF, CIT","​​​​​​​Nepal Airlines Corporation (NAC), which had been unable to pay its instalment for the last three years, finally paid Rs 1.35 in instalment to Citizen Investment Trust (CIT) and Employees Provident Fund (EPF) last Thursday.",Business,"22 Jul, 2022 "
Monetary policy likely to remain tight: ADB,The Asian Development Bank (ADB) has said Nepal’s monetary policy will likely remain tight and the country will continue to face geopolitical and economic risks stemming from the war in Ukraine.,Business,"22 Jul, 2022 "
"Nepal Airlines Corporation repays long pending dues to EPF, CIT","Spokesperson of NAC Archana Khadka shared that the EPF was repaid Rs 900 million, which was taken for the purchase of narrow body and wide body aircrafts.",Business,"21 Jul, 2022 "
Karma Residences,"Good Karma Group of Companies has launched Karma Residences, featuring 162 luxury apartments located at Maharajgunj, Kathmandu, comparable with the finest condominiums in New York City.",Business,"20 Jul, 2022 "
Minister bats for private sector coordination for tourism revival,"Culture, Tourism and Civil Aviation Minister Jeevan Ram Shrestha has said the government and the private sector should coordinate for revival of COVID-battered tourism.",Business,"20 Jul, 2022 "
"Production capacity of industries dropped in Q3, 2021-22: CNI","The production capacity of industries was limited to 66.81 per cent in the third quarter of fiscal year 2021-22, as per the latest report by Confederation of Nepalese Industry (CNI).",Business,"20 Jul, 2022 "
Report on labour migration launched,"A new research report on labour migration has delved into various issues that affect the Nepali migrant population and their families under three different research topics — the dynamics of foreign migrations, the financial and emotional liabilities of the migrants, and challenges for reintegration once they come back.",Business,"19 Jul, 2022 "
Paddy plantation completed on 60pc land so far,"Paddy plantation has been completed on 60 per cent of the total 1.50 million hectares of arable land used for paddy plantation across the country as of July 12, according to the latest update provided by the Ministry of Agriculture and Livestock Development (MoALD) today.",Business,"19 Jul, 2022 "
"Land Use Regulation 2022 dents property market, say realtors","The recently introduced Land Use Regulation 2022 has dented the real estate market, with only 47,028 properties (houses and land) sold across the country in the one month period between mid-June and mid-July.",Business,"18 Jul, 2022 "
Govt extends ban on import of 'non-essential' items,"As the country’s trade gap is still huge and the foreign exchange reserves is still not at a comfortable position, the government has decided to give continuity to the ban on import of non-essential items listed under 10 categories until August 30.",Business,"18 Jul, 2022 "
